,city,state
0,Aaronsburg ,PA
6,Abell ,MD
16,Abingdon ,MD
20,Abington ,CT
30,Acme ,PA
32,Acosta ,PA
41,Adah ,PA
49,Adams Basin ,NY
64,Adelphia ,NJ
66,Adger ,AL
67,Adkins ,TX
68,Adolph ,MN
70,Adrian ,PA
72,Adrian ,WV
79,Afton ,TN
80,Afton ,VA
82,Agate ,CO
83,Agawam ,MA
87,Airville ,PA
103,Alamo ,TN
114,Albany ,WI
122,Albertson ,NC
130,Albion ,NY
139,Alcove ,NY
145,Aldie ,VA
149,Alexander ,IL
150,Alexander ,NC
163,Alexis ,NC
165,Alger ,MI
174,Alix ,AR
176,Alleene ,AR
189,Allenton ,MI
201,Allston ,MA
206,Almo ,KY
211,Alpha ,OH
214,Alpine ,AL
218,Alplaus ,NY
230,Alto ,MI
233,Alton Bay ,NH
240,Alum Bank ,PA
243,Alvada ,OH
244,Alvadore ,OR
247,Alvaton ,KY
248,Alverton ,PA
249,Alvin ,IL
251,Alviso ,CA
255,Am Qui ,TN
260,Amawalk ,NY
276,Amesbury ,MA
280,Amherst ,SD
283,Amherst Junction ,WI
284,Amissville ,VA
285,Amity ,PA
291,Amston ,CT
292,Anaconda ,MT
297,Anchorville ,MI
313,Andover ,SD
315,Andreas ,PA
319,Andrews Air Force Base ,MD
324,Anita ,PA
335,Annapolis Junction ,MD
336,Annawan ,IL
348,Anthony ,FL
353,Antioch ,TN
355,Antwerp ,IN
370,Appleton ,NY
373,Apulia Station ,NY
375,Aquashicola ,PA
380,Arbon ,ID
394,Ardara ,PA
395,Arden ,NC
399,Ardsley on Hudson ,NY
411,Ark ,VA
437,Armstrong ,IL
438,Armuchee ,GA
443,Arnoldsburg ,WV
445,Aroda ,VA
448,Arrington ,TN
454,Arthurdale ,WV
456,Arvonia ,VA
460,Ash ,NC
491,Ashton ,MD
493,Ashton ,WV
499,Assonet ,MA
504,Astoria ,IL
505,Astoria ,NY
509,Atascosa ,TX
511,Atco ,NJ
514,Athens ,GA
523,Athens ,PA
530,Atkinson ,IL
536,Atlanta ,NY
556,Attleboro Falls ,MA
559,Atwood ,IN
579,Auburndale ,MA
589,Augusta ,NJ
591,Augusta ,GA
592,Augusta ,WV
612,Austin ,KY
618,Austinville ,IA
626,Avenue ,MD
628,Avery Island ,LA
632,Avoca ,MI
644,Avon by the Sea ,NJ
647,Avondale ,AL
655,Axtell ,TX
656,Axton ,VA
659,Aylett ,VA
668,Bacova ,VA
675,Bahama ,NC
676,Bailey ,MI
678,Bailey Island ,ME
680,Baileyville ,IL
689,Baker ,FL
692,Baker ,WV
695,Bala Cynwyd ,PA
703,Baldwin Place ,NY
710,Ballston Lake ,NY
719,Banco ,VA
729,Banner ,WY
731,Bannister ,MI
734,Bar Mills ,ME
737,Barboursville ,VA
743,Barhamsville ,VA
744,Barium Springs ,NC
747,Barksdale Afb ,LA
749,Barnard ,SD
750,Barnardsville ,NC
761,Barnstable ,MA
773,Barrytown ,NY
779,Barto ,PA
781,Barton ,OH
782,Barton City ,MI
788,Basking Ridge ,NJ
789,Basom ,NY
790,Bass Harbor ,ME
799,Batesburg ,SC
802,Batesville ,VA
809,Bath ,OH
811,Bath ,SC
814,Bath Springs ,TN
819,Battle Ground ,WA
821,Battleboro ,NC
822,Bausman ,PA
830,Bay Saint Louis ,MS
840,Bayside ,NY
842,Bayview ,ID
843,Bayville ,NJ
853,Beallsville ,MD
858,Bear Creek ,NC
859,Bear Creek ,WI
868,Beaver ,PA
873,Beaver Dams ,NY
874,Beaver Falls ,NY
880,Beaverdam ,VA
901,Beech Bluff ,TN
905,Beech Island ,SC
907,Beechgrove ,TN
910,Bel Alton ,MD
911,Belcamp ,MD
914,Belden ,MS
917,Belews Creek ,NC
925,Belgrade Lakes ,ME
951,Belleville ,WV
969,Bellvue ,CO
975,Belmont ,MI
981,Belmont ,WI
985,Belsano ,PA
997,Ben Wheeler ,TX
1001,Benezett ,PA
1013,Bent Mountain ,VA
1015,Bentley ,LA
1035,Bergheim ,TX
1038,Bergton ,VA
1042,Berkeley Springs ,WV
1055,Berlin Center ,OH
1058,Bernard ,ME
1062,Bernhards Bay ,NY
1065,Berrien Center ,MI
1069,Berryton ,KS
1073,Berwick ,IA
1085,Bethany ,LA
1109,Beverley Beach ,MD
1117,Bickmore ,WV
1120,Biddeford Pool ,ME
1121,Bidwell ,OH
1124,Big Cove Tannery ,PA
1129,Big Prairie ,OH
1150,Birch Harbor ,ME
1153,Birchwood ,TN
1154,Bird in Hand ,PA
1159,Birmingham ,OH
1165,Bismarck ,AR
1168,Bitely ,MI
1177,Black Hawk ,SD
1180,Black River ,MI
1185,Blacklick ,OH
1188,Blackstone ,IL
1202,Blanch ,NC
1204,Blanchard ,MI
1234,Bloomingrose ,WV
1238,Bloomington ,NY
1244,Blossvale ,NY
1245,Blount ,WV
1246,Blounts Creek ,NC
1266,Bluemont ,VA
1275,Boaz ,KY
1279,Bohannon ,VA
1283,Bois D Arc ,MO
1294,Bon Secour ,AL
1295,Bonaire ,GA
1296,Bonanza ,UT
1297,Boncarbo ,CO
1298,Bondsville ,MA
1306,Bonner ,MT
1309,Bonnots Mill ,MO
1315,Booneville ,IA
1328,Boring ,OR
1340,Bouckville ,NY
1349,Bovard ,PA
1351,Bow ,WA
1361,Bowmansville ,NY
1364,Box Springs ,GA
1372,Boyds ,MD
1373,Boyers ,PA
1378,Boynton ,PA
1384,Brackney ,PA
1396,Bradfordwoods ,PA
1398,Bradley ,MI
1409,Braintree ,MA
1413,Branchport ,NY
1414,Branchton ,PA
1415,Branchville ,IN
1423,Brandt ,SD
1424,Brandy Station ,VA
1430,Brant Lake ,NY
1431,Brant Rock ,MA
1435,Brazeau ,MO
1444,Breezewood ,PA
1445,Breezy Point ,NY
1452,Bremo Bluff ,VA
1471,Bridge Port ,IA
1474,Bridgeport ,IN
1477,Bridgeport ,NJ
1498,Brierfield ,AL
1503,Brighton ,MA
1505,Brighton ,MO
