,city,state,county,Overall,Grocery,Health,Housing,Median Home Cost,Utilities,Transportation,Miscellaneous
0,Aaronsburg ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
6,Abell ,MD,no data,no data,no data,no data,no data,no data,no data,no data,no data
16,Abingdon ,MD,no data,no data,no data,no data,no data,no data,no data,no data,no data
20,Abington ,CT,no data,no data,no data,no data,no data,no data,no data,no data,no data
30,Acme ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
32,Acosta ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
41,Adah ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
49,Adams Basin ,NY,no data,no data,no data,no data,no data,no data,no data,no data,no data
64,Adelphia ,NJ,no data,no data,no data,no data,no data,no data,no data,no data,no data
66,Adger ,AL,no data,no data,no data,no data,no data,no data,no data,no data,no data
67,Adkins ,TX,no data,no data,no data,no data,no data,no data,no data,no data,no data
68,Adolph ,MN,no data,no data,no data,no data,no data,no data,no data,no data,no data
70,Adrian ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
72,Adrian ,WV,no data,no data,no data,no data,no data,no data,no data,no data,no data
79,Afton ,TN,no data,no data,no data,no data,no data,no data,no data,no data,no data
80,Afton ,VA,no data,no data,no data,no data,no data,no data,no data,no data,no data
82,Agate ,CO,no data,no data,no data,no data,no data,no data,no data,no data,no data
83,Agawam ,MA,no data,no data,no data,no data,no data,no data,no data,no data,no data
87,Airville ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
114,Albany ,WI,no data,no data,no data,no data,no data,no data,no data,no data,no data
122,Albertson ,NC,no data,no data,no data,no data,no data,no data,no data,no data,no data
130,Albion ,NY,no data,no data,no data,no data,no data,no data,no data,no data,no data
139,Alcove ,NY,no data,no data,no data,no data,no data,no data,no data,no data,no data
145,Aldie ,VA,no data,no data,no data,no data,no data,no data,no data,no data,no data
149,Alexander ,IL,no data,no data,no data,no data,no data,no data,no data,no data,no data
150,Alexander ,NC,no data,no data,no data,no data,no data,no data,no data,no data,no data
163,Alexis ,NC,no data,no data,no data,no data,no data,no data,no data,no data,no data
165,Alger ,MI,no data,no data,no data,no data,no data,no data,no data,no data,no data
174,Alix ,AR,no data,no data,no data,no data,no data,no data,no data,no data,no data
176,Alleene ,AR,no data,no data,no data,no data,no data,no data,no data,no data,no data
189,Allenton ,MI,no data,no data,no data,no data,no data,no data,no data,no data,no data
