,city,state
28,Ackley ,IA
30,Acme ,PA
32,Acosta ,PA
41,Adah ,PA
49,Adams Basin ,NY
52,Adamstown ,MD
64,Adelphia ,NJ
66,Adger ,AL
67,Adkins ,TX
68,Adolph ,MN
70,Adrian ,PA
72,Adrian ,WV
74,Advance ,MO
78,Afton ,NY
79,Afton ,TN
80,Afton ,VA
82,Agate ,CO
83,Agawam ,MA
87,Airville ,PA
102,Alamo ,CA
108,Albany ,GA
114,Albany ,WI
118,Albert City ,IA
122,Albertson ,NC
130,Albion ,NY
135,Alburnett ,IA
139,Alcove ,NY
145,Aldie ,VA
149,Alexander ,IL
150,Alexander ,NC
163,Alexis ,NC
165,Alger ,MI
174,Alix ,AR
176,Alleene ,AR
189,Allenton ,MI
201,Allston ,MA
206,Almo ,KY
209,Alna ,ME
211,Alpha ,OH
214,Alpine ,AL
217,Alpine ,UT
218,Alplaus ,NY
230,Alto ,MI
233,Alton Bay ,NH
238,Altura ,MN
240,Alum Bank ,PA
243,Alvada ,OH
244,Alvadore ,OR
247,Alvaton ,KY
248,Alverton ,PA
249,Alvin ,IL
251,Alviso ,CA
255,Am Qui ,TN
260,Amawalk ,NY
276,Amesbury ,MA
280,Amherst ,SD
283,Amherst Junction ,WI
284,Amissville ,VA
285,Amity ,PA
286,Amityville ,NY
288,Amory ,MS
291,Amston ,CT
292,Anaconda ,MT
297,Anchorville ,MI
313,Andover ,SD
315,Andreas ,PA
316,Andrew ,IA
319,Andrews Air Force Base ,MD
324,Anita ,PA
335,Annapolis Junction ,MD
336,Annawan ,IL
341,Anson ,ME
348,Anthony ,FL
353,Antioch ,TN
355,Antwerp ,IN
366,Apple Creek ,OH
370,Appleton ,NY
373,Apulia Station ,NY
374,Aquasco ,MD
375,Aquashicola ,PA
380,Arbon ,ID
381,Arcade ,NY
394,Ardara ,PA
395,Arden ,NC
399,Ardsley on Hudson ,NY
403,Argenta ,IL
406,Argyle ,WI
411,Ark ,VA
414,Arkansaw ,WI
437,Armstrong ,IL
438,Armuchee ,GA
439,Arnaudville ,LA
443,Arnoldsburg ,WV
445,Aroda ,VA
448,Arrington ,TN
454,Arthurdale ,WV
456,Arvonia ,VA
460,Ash ,NC
487,Ashmore ,IL
491,Ashton ,MD
493,Ashton ,WV
499,Assonet ,MA
503,Astor ,FL
504,Astoria ,IL
505,Astoria ,NY
506,Astoria ,SD
509,Atascosa ,TX
511,Atco ,NJ
514,Athens ,GA
516,Athens ,ME
518,Athens ,NY
523,Athens ,PA
530,Atkinson ,IL
532,Atlanta ,GA
535,Atlanta ,MI
536,Atlanta ,NY
566,Auburn ,IL
594,Ault ,CO
625,Avenel ,NJ
636,Avoca ,IA
648,Avondale ,AZ
683,Bainbridge ,OH
700,Baldwin ,NY
705,Baldwinville ,MA
708,Ball Ground ,GA
721,Bancroft ,MI
724,Bancroft ,NE
742,Bargersville ,IN
759,Barnhart ,MO
762,Barnstead ,NH
862,Bear River City ,UT
948,Belleville ,NJ
953,Bellevue ,IA
974,Belmont ,MA
987,Belton ,MO
990,Beltsville ,MD
1008,Bennington ,NH
1091,Bethel ,MN
1147,Biloxi ,MS
1161,Bishop ,CA
1247,Blountstown ,FL
2877,Corsica ,PA
2905,Cottonwood ,AL
2913,Country Club Hills ,IL
2985,Creve Coeur ,IL
2990,Crockett ,CA
3089,Cynthiana ,KY
3094,Dacula ,GA
3100,Dahlonega ,GA
3103,Dakota ,IL
3199,Dayton ,KY
3207,Dayton ,VA
3213,De Beque ,CO
3237,Dearing ,GA
4906,Gilbertsville ,KY
4980,Glenbeulah ,WI
4990,Glendive ,MT
4999,Glenmora ,LA
5005,Glenrock ,WY
5026,Gloucester City ,NJ
5027,Gloucester Point ,VA
5034,Goddard ,KS
5070,Gordon ,GA
5170,Grantville ,GA
5378,Hackett ,AR
5446,Hampstead ,NC
5470,Hanna City ,IL
5497,Harborcreek ,PA
5513,Harlem ,GA
5589,Hartville ,OH
5629,Havana ,IL
5795,Higginsville ,MO
5816,Highlands ,NJ
5866,Hinesville ,GA
6158,Hyrum ,UT
6159,Hysham ,MT
6184,Incline Village ,NV
6221,Intercourse ,PA
6252,Irvine ,KY
6275,Isle ,MN
6384,Jenison ,MI
6496,Kaysville ,UT
6608,Killeen ,TX
6655,Kingston ,TN
8612,Morton ,PA
8660,Mount Holly Springs ,PA
8769,Murray ,NE
8810,Narrowsburg ,NY
9025,New Riegel ,OH
9053,New Wilmington ,PA
9063,Newark ,IL
9207,North Andover ,MA
9236,North Charleston ,SC
9296,North Prairie ,WI
9305,North Salem ,NH
9308,North Sandwich ,NH
9309,North Scituate ,RI
9314,North Street ,MI
9315,North Sutton ,NH
9317,North Truro ,MA
9318,North Vassalboro ,ME
9323,North Waterboro ,ME
9325,North Weymouth ,MA
9326,North Windham ,CT
9330,Northampton ,PA
9334,Northeast Harbor ,ME
9336,Northfield ,CT
9341,Northford ,CT
9345,Northridge ,CA
9350,Northville ,NY
9351,Northville ,SD
9376,Nova ,OH
9378,Novelty ,OH
9382,Nunda ,SD
9383,Nunica ,MI
9385,Nursery ,TX
9388,O Brien ,OR
9389,O Fallon ,IL
9400,Oak Hill ,WV
9408,Oak Ridge ,NJ
9409,Oak Ridge ,PA
9416,Oakdale ,CT
9418,Oakfield ,TN
9420,Oakford ,IN
9428,Oakland ,MI
9430,Oakland ,RI
9435,Oakland Gardens ,NY
9436,Oakland Mills ,PA
9443,Oaks ,PA
9454,Ocean Bluff ,MA
9455,Ocean City ,NJ
9460,Ocean Park ,ME
9463,Ocean View ,NJ
9467,Oceanville ,NJ
9469,Ochopee ,FL
9470,Ocklawaha ,FL
9472,Ocoee ,TN
9489,Offutt A F B ,NE
9508,Oilville ,VA
9511,Okatie ,SC
9512,Okauchee ,WI
9514,Okeana ,OH
9521,Olalla ,WA
9522,Olanta ,PA
9529,Old Chatham ,NY
9530,Old Fort ,TN
9532,Old Hickory ,TN
9538,Old Zionsville ,PA
9540,Oldfield ,MO
9544,Oldwick ,NJ
9548,Olin ,NC
9551,Olivebridge ,NY
9552,Oliveburg ,PA
9565,Ona ,WV
9570,Onego ,WV
9574,Onemo ,VA
9577,Ono ,PA
9584,Ontario Center ,NY
9589,Opa Locka ,FL
9592,Ophiem ,IL
9594,Oran ,IA
9599,Orange ,NJ
9603,Orange Lake ,FL
9614,Orefield ,PA
9619,Oregonia ,OH
9632,Orkney Springs ,VA
9634,Orland ,ME
9637,Orlando East ,FL
9638,Orlando West ,FL
9648,Orrs Island ,ME
9653,Ortley ,SD
9659,Osage ,WV
9666,Osceola ,PA
9675,Osseo ,MI
9681,Osteen ,FL
9682,Osterburg ,PA
9683,Osterville ,MA
9692,Otis ,LA
9694,Otis Orchards ,WA
9695,Otisco ,IN
9698,Otley ,IA
9706,Ottsville ,PA
9709,Outing ,MN
9710,Ovalo ,TX
9733,Oxford ,FL
9741,Oxford ,NY
9744,Oxford ,WI
9755,Ozona ,FL
9759,Pacoima ,CA
9763,Paeonian Springs ,VA
9765,Paint Lick ,KY
9771,Palermo ,ME
9775,Palestine ,WV
